model,arm,signal,map,fit,scheme,bin,n,weight,conf_lo,conf_hi,mean_conf,empirical_rate,gap
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,isotonic,naive_full_sample,equal_mass,4,11,0.102803738317757,0.6774193548387096,0.6774193548387096,0.6774193548387097,0.5454545454545454,-0.13196480938416433
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,isotonic,naive_full_sample,equal_mass,5,11,0.102803738317757,0.75,0.75,0.75,0.8181818181818182,0.06818181818181823
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,isotonic,naive_full_sample,equal_mass,6,11,0.102803738317757,0.75,0.7878787878787878,0.7706611570247933,0.8181818181818182,0.04752066115702491
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,isotonic,naive_full_sample,equal_mass,7,10,0.09345794392523364,0.7878787878787878,0.7878787878787878,0.7878787878787878,0.6,-0.18787878787878787
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,isotonic,naive_full_sample,equal_mass,8,10,0.09345794392523364,0.7878787878787878,0.7878787878787878,0.7878787878787878,0.9,0.11212121212121218
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,isotonic,naive_full_sample,equal_mass,9,10,0.09345794392523364,0.7878787878787878,1.0,0.8515151515151516,0.8,-0.051515151515151514
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_width,4,2,0.018691588785046728,0.46367038404707517,0.49616125489429097,0.47991581947068307,0.5,0.02008418052931693
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_width,5,13,0.12149532710280374,0.5241178722891874,0.5981842444307582,0.5718022644733203,0.46153846153846156,-0.11026380293485871
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_width,6,49,0.45794392523364486,0.6040534743123898,0.6982166012186362,0.6586254936433068,0.673469387755102,0.014843894111795208
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_width,7,37,0.34579439252336447,0.7015559771731813,0.7972340251925298,0.7297355291258547,0.8378378378378378,0.10810230871198312
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_width,8,6,0.056074766355140186,0.8233901616576709,0.8501727118135932,0.8351435382891405,0.5,-0.33514353828914045
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_mass,0,11,0.102803738317757,0.46367038404707517,0.5895109807990387,0.5467179310650084,0.45454545454545453,-0.0921724765195539
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_mass,1,11,0.102803738317757,0.5921472749819296,0.6192036504700411,0.6055657843096024,0.6363636363636364,0.03079785205403396
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_mass,2,11,0.102803738317757,0.6221161373664013,0.6507696031560016,0.6342907084065454,0.7272727272727273,0.09298201886618185
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_mass,3,11,0.102803738317757,0.6535632105441992,0.6697669362713113,0.6620277339875064,0.6363636363636364,-0.025664097623870008
Gemma-4-31B-it,h7_twin_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_mass,4,11,0.102803738317757,0.6709832828406644,0.6892374803446681,0.6800780786833388,0.5454545454545454,-0.1346235332287934
