model,arm,role,signal,map,fit,n,n_subjects,base_rate,mean_confidence,ece_equal_width,ece_equal_width_lo,ece_equal_width_hi,ece_equal_mass,ece_equal_mass_lo,ece_equal_mass_hi,brier,brier_constant_baserate,auc,constant_baserate_ece
Gemma-4-31B-it,zeroinfo_named,secondary,A_cosine_to_real,isotonic,held_out_crossfit,323,88,0.647059,0.625449,0.128396,0.084916,0.19821,0.151378,0.094621,0.205315,0.257837,0.228374,0.585495,0.0
Gemma-4-31B-it,zeroinfo_named,secondary,A_cosine_to_real,isotonic,naive_full_sample,323,88,0.647059,0.647059,0.0,0.0209,0.084998,0.046856,0.038277,0.103206,0.213289,0.228374,0.639805,0.0
Gemma-4-31B-it,zeroinfo_named,secondary,A_cosine_to_real,platt,held_out_crossfit,323,88,0.647059,0.629772,0.083855,0.054051,0.150864,0.106238,0.081444,0.179071,0.24126,0.228374,0.565223,0.0
Gemma-4-31B-it,zeroinfo_named,secondary,A_cosine_to_real,platt,naive_full_sample,323,88,0.647059,0.647035,0.020554,0.017962,0.084966,0.067149,0.05131,0.12708,0.219753,0.228374,0.612944,0.0
Gemma-4-31B-it,zeroinfo_redacted,secondary,A_cosine_to_real,isotonic,held_out_crossfit,323,88,0.594427,0.589609,0.072188,0.046797,0.132191,0.089764,0.076214,0.165721,0.230977,0.241083,0.656568,0.0
Gemma-4-31B-it,zeroinfo_redacted,secondary,A_cosine_to_real,isotonic,naive_full_sample,323,88,0.594427,0.594427,0.0,0.023889,0.085028,0.031399,0.036828,0.098146,0.208378,0.241083,0.704894,0.0
Gemma-4-31B-it,zeroinfo_redacted,secondary,A_cosine_to_real,platt,held_out_crossfit,323,88,0.594427,0.588228,0.05591,0.039579,0.115858,0.060083,0.050454,0.13336,0.221123,0.241083,0.674579,0.0
Gemma-4-31B-it,zeroinfo_redacted,secondary,A_cosine_to_real,platt,naive_full_sample,323,88,0.594427,0.594413,0.028875,0.027901,0.095675,0.050391,0.0467,0.120946,0.21709,0.241083,0.685353,0.0
gemini-3.5-flash-lite,h7_twin_redacted,secondary,A_cosine_to_real,isotonic,held_out_crossfit,106,21,0.764151,0.759598,0.068875,0.036862,0.177003,0.103523,0.06601,0.201649,0.187159,0.180224,0.581728,0.0
gemini-3.5-flash-lite,h7_twin_redacted,secondary,A_cosine_to_real,isotonic,naive_full_sample,106,21,0.764151,0.764151,0.0,0.015465,0.122554,0.110547,0.051686,0.158371,0.16601,0.180224,0.650864,0.0
